lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
10.785104,106.648335,1,7,7,3,0,1,6,4,3,22,5,0,1,17,8,7
10.762108,106.66492,4,8,35,11,0,14,6,28,17,38,4,0,0,9,37,10
20.997919,105.827148,2,0,8,3,0,0,2,4,3,7,0,0,3,1,13,25
10.876948,106.677443,1,1,1,1,0,0,1,0,0,4,0,0,0,1,0,0
10.761685,106.617494,0,4,0,0,0,0,2,0,0,8,1,0,1,2,1,1
21.058966,105.764644,1,1,1,1,0,2,0,7,1,0,0,0,0,0,0,1
10.7696577,106.682521,7,7,75,8,0,16,11,118,8,20,7,0,3,20,35,23
21.019169,105.816633,8,6,32,8,0,6,1,42,4,20,5,0,5,3,26,81
10.782743,106.626868,0,9,2,1,0,1,2,2,0,7,3,0,0,4,2,3
10.838615,106.673122,2,6,14,2,0,0,1,4,0,5,1,0,0,5,8,7
10.866532,106.639481,0,0,1,0,0,0,0,0,1,3,1,0,2,0,0,1
20.995935,105.8219564,0,0,8,0,0,7,1,25,3,19,3,0,5,3,10,26
10.819417,106.678776,5,4,9,0,0,2,1,2,1,10,1,0,1,7,6,8
10.747055,106.673042,0,9,4,1,0,2,4,16,8,20,2,0,1,18,8,8
21.015176,105.81703,3,7,22,6,0,5,2,25,5,15,7,0,6,7,23,68
20.971594,105.7812,2,3,5,1,1,1,2,12,6,17,2,0,2,4,3,20
21.0037916,105.8374303,5,1,40,21,5,13,4,22,10,17,8,0,6,3,26,47
10.8157142,106.5957699,0,1,0,0,0,0,0,1,0,8,0,0,0,1,1,3
10.6993248,106.6410694,2,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0
20.9169782,105.8738869,0,1,0,0,0,0,0,0,0,3,3,0,1,0,0,0
10.6758408,106.759516,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.018213,105.824451,5,4,33,5,2,6,3,50,4,20,2,0,9,9,28,76
10.843807,106.730597,0,1,5,0,0,1,0,1,0,2,0,0,0,3,0,0
10.821897,106.638988,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,1
21.0433477,105.7862668,12,6,54,45,32,22,4,69,2,16,13,0,3,3,10,19
10.7792025,106.6467293,1,9,2,5,0,3,5,2,2,28,2,0,1,14,15,4
10.8013468,106.7133885,7,7,19,4,0,4,1,15,0,8,0,0,3,7,5,11
21.0406213,105.7639267,4,2,7,3,0,1,0,5,1,15,2,0,3,1,2,5
20.998322,105.867558,1,3,8,1,3,2,3,6,3,12,7,0,3,2,3,22
20.989259,105.812981,2,0,6,0,0,0,4,7,2,16,4,0,5,3,3,9
10.837806,106.723628,0,4,6,0,0,2,1,1,0,4,0,0,0,1,0,0
10.739163,106.671428,1,4,4,1,0,0,2,5,3,13,2,0,1,12,1,2
10.775504,106.615699,0,6,0,0,0,1,2,1,0,6,0,0,0,0,2,2
10.827856,106.723728,0,1,34,0,0,2,1,8,0,2,0,0,0,2,0,0
21.005176,105.847111,4,5,61,20,9,19,1,66,8,18,11,0,6,4,24,65
10.6719142839515,106.583819319397,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11.1138658,106.4723625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8205354,106.6076524,0,1,0,0,0,0,0,1,0,6,1,0,0,1,2,4
10.846526,106.765236,4,4,17,2,0,3,1,23,0,16,5,0,4,12,9,17
10.72188,106.608407,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,2
10.789195,106.595543,0,4,2,0,0,0,0,0,1,5,1,0,0,1,0,2
10.826109,106.693883,5,3,9,5,0,3,2,12,2,16,0,0,0,5,6,7
10.7436142,106.6196419,0,14,6,3,0,4,2,37,3,7,3,0,0,4,6,5
20.980262,105.779429,2,2,4,0,0,1,0,8,1,13,2,0,1,5,2,16
10.873345,106.725203,0,7,0,0,0,0,1,0,0,3,1,0,0,1,1,0
